entity_name,dba_name,street_number,street_name,city,zip_code,county,borough,square_footage,location
JIMENEZ AMABLE,PELLE MEAT & PRODUCE MARKET,931,EAST 174TH STREET,BRONX,10460,BRONX,Bronx,,
GEES GOURMET DELI INC,GEES GOURMET DELI,4028,BOSTON RD,BRONX,10475,BRONX,Bronx,1000,
VALENTINO DELI GROCERY CORP,VALENTINO DELI GROCERY,3321,3RD AVE,BRONX,10456,BRONX,Bronx,,
MACCA HALAL MARKET 2 INC,ALMADENAH HALAL MEAT MA,869,MORRIS PARK AVE,BRONX,10462,BRONX,Bronx,2500,
FAMILIA CONVENIENCE CORP,FAMILIA CONVENIENCE,2112,WESTCHESTER AVE,BRONX,10462,BRONX,Bronx,,
EL TORITO MEAT MARKET CORP,EL TORITO MEAT MARKET,577,EAST 187TH ST,BRONX,10458,BRONX,Bronx,,
FERNANDEZ DELI GROCERY II CORP,FERNANDEZ DELI GROCERY II,986,ROGERS PLACE,BRONX,10459,BRONX,Bronx,,
GUATELINDA DELI CORP,GUATELINDA DELI,1526,WESTCHESTER AVE,BRONX,10472,BRONX,Bronx,1000,
INJ DELI & GROCERY CORP,INJ DELI & GROCERY,292,E 166TH ST,BRONX,10456,BRONX,Bronx,1400,
ALLYSSIA DISCOUNTS CORP,ALLYSSIA DISCOUNTS,172,W FORDHAM RD ####,BRONX,10468,BRONX,Bronx,700,
DELI GROCERY MANA DEL CIELO INC,DELI GROCERY MANA DEL CIELO,1305,ROSEDALE AVE,BRONX,10472,BRONX,Bronx,1000,
3RD AVE FISH MARKET CORP,3RD AVE FISH MARKET,3240,THIRD AVE ####,BRONX,10451,BRONX,Bronx,900,
CARNICERIA EL TORITO CORP,CARNICERIA EL TORITO,513,EAST 180TH STREET ####,BRONX,10457,BRONX,Bronx,1200,
WICKHAM MINI MARKET CORP,WICKHAM MINI MARKET,4400,WICKHAM AVE  STORE A,BRONX,10466,BRONX,Bronx,,
M&M SUPERMARKET AND HALAL MEAT INC,M&M SUPERMARKET AND HALAL MEAT,239,E KINGSBRIDGE RD,BRONX,10458,BRONX,Bronx,900,
DREAMS 1 99C CORPORATION,99 CENT DREAMS,874,HUNTS POINT AVE,BRONX,10474,BRONX,Bronx,,
AM FAMILY SUPERMARKET CORP,AM FAMILY SUPERMARKET,1025,MORRIS PARK AVE,BRONX,10461,BRONX,Bronx,3000,
YEDELINE DELI & GROCERY 3 CORP,YEDELINE DELI & GROCERY 3,900,HOE AVE,BRONX,10459,BRONX,Bronx,,
AISLYN MEAT MARKET INC,AISLYN MEAT MARKET,3981,LACONIA AVE,BRONX,10466,BRONX,Bronx,1200,
EL CIELO MEXICANO DELI GROCERY CO,EL CIELO MEXICANO DELI GROCERY,1701,CASTLE HILL AVE,BRONX,10462,BRONX,Bronx,400,
3001 PLAZA LIBRE FOOD CORP,3001 PLAZA LIBRE FOOD,3001,KINGSBRIDGE TERRACE,BRONX,10463,BRONX,Bronx,1200,
FRESH & TASTY SUSHI INC,FRESH & TASTY SUSHI,421,E 189TH STREET,BRONX,10458,BRONX,Bronx,30,
CHULAMEX LLC,CHULAMEX,3622,WHITE PLAINS ROAD,BRONX,10467,BRONX,Bronx,,
FREEMAN DELI GROCERY CORP,FREEMAN DEL GROCERY,854,FREEMAN ST,BRONX,10459,BRONX,Bronx,,
HOE CANDY GROCERY CORP,HOE CANDY GROCERY,937,E 172ND ST,BRONX,10460,BRONX,Bronx,1000,
HALAL MEAT & GROCERY LLC,HALAL MEAT & GROCERY,1152,SHERMAN AVE STORE 2,BRONX,10456,BRONX,Bronx,800,
