minute_of_day,hour,minute,entropy,n_observations
469,7,49,0.6180038597674269,34
470,7,50,0.7085966983474103,34
471,7,51,0.6024308020404452,34
472,7,52,0.6402064333604701,34
473,7,53,0.7085966983474103,34
474,7,54,0.8343470230852538,34
475,7,55,0.9780155566622415,34
476,7,56,0.7085966983474103,34
477,7,57,0.8553529129344397,34
478,7,58,1.0961085701090179,34
479,7,59,1.0360543354041232,34
480,8,0,1.262700341564713,34
481,8,1,1.181674238559905,34
482,8,2,1.092725395776657,34
483,8,3,1.1595547523787308,34
484,8,4,1.1660870601063933,34
485,8,5,1.0360543354041232,34
486,8,6,0.8553529129344397,34
487,8,7,0.951994081908783,34
488,8,8,0.9297915083157398,34
489,8,9,0.9363790159392477,34
490,8,10,1.2772018112022603,34
491,8,11,1.092725395776657,34
492,8,12,1.3216069583883467,34
493,8,13,1.3108855473118677,34
494,8,14,1.3108855473118681,34
495,8,15,1.4602047071652169,34
496,8,16,1.191553055339504,34
497,8,17,1.2388954222347044,34
498,8,18,1.3918285629048066,34
499,8,19,1.485344500467374,34
500,8,20,1.3359422532021559,34
501,8,21,1.416968356206964,34
502,8,22,1.4252902657624795,34
503,8,23,1.3562162791272803,34
504,8,24,1.391828562904807,34
505,8,25,1.1331842537834438,34
506,8,26,0.6180038597674269,34
507,8,27,0.7085966983474103,34
508,8,28,0.5115779700152473,34
509,8,29,0.6180038597674269,34
510,8,30,0.5115779700152473,34
511,8,31,0.5115779700152473,34
512,8,32,0.5115779700152473,34
513,8,33,0.4305518670104394,34
514,8,34,0.3815804883091629,34
515,8,35,0.3227569588973982,34
516,8,36,0.19143325481419343,34
517,8,37,0.0,34
518,8,38,0.0,34
519,8,39,1.6076726977599138,34
520,8,40,1.680697010832931,34
521,8,41,1.5379101587072448,34
522,8,42,1.5739889616503064,34
523,8,43,1.6206427761280364,34
524,8,44,1.7251165190502906,34
525,8,45,1.6076726977599138,34
526,8,46,1.6589797521242051,34
527,8,47,1.5920236102411058,34
528,8,48,1.789931700534267,34
529,8,49,1.4282648898155057,34
530,8,50,1.705851165166361,34
531,8,51,1.7322216637616483,34
532,8,52,1.741829582198981,34
533,8,53,1.6074550991954881,34
534,8,54,1.741829582198981,34
535,8,55,1.7610949360829107,34
536,8,56,1.747912114420172,34
537,8,57,1.769992620089421,34
538,8,58,1.747912114420172,34
539,8,59,1.5330631870489937,34
540,9,0,1.608700165519891,34
541,9,1,1.654326512237644,34
542,9,2,1.692663488233813,34
543,9,3,1.692663488233813,34
544,9,4,1.7407656065690986,34
545,9,5,1.7251165190502906,34
546,9,6,1.5668838169389487,34
547,9,7,1.5073812408711769,34
548,9,8,1.6325948924976454,34
549,9,9,1.692663488233813,34
550,9,10,1.6183941088363931,34
551,9,11,1.6206427761280366,34
552,9,12,1.6325948924976457,34
553,9,13,1.7407656065690986,34
554,9,14,1.5948239361698726,34
555,9,15,1.6896402436455298,34
556,9,16,1.68964024364553,34
557,9,17,1.3645943887454903,34
558,9,18,1.6325948924976454,34
559,9,19,1.5804055539441944,34
560,9,20,1.7251165190502906,34
561,9,21,1.5804055539441941,34
562,9,22,1.7418295821989813,34
563,9,23,1.7233239797551376,34
564,9,24,1.7340453908316165,34
565,9,25,1.5804055539441944,34
566,9,26,1.5959882977101967,34
567,9,27,1.654326512237644,34
568,9,28,1.6074550991954881,34
569,9,29,1.5515687894928374,34
570,9,30,1.6806970108329313,34
571,9,31,1.54515219719895,34
572,9,32,1.4627728561519375,34
573,9,33,1.692663488233813,34
574,9,34,1.6404741496803616,34
575,9,35,1.4978098303037495,34
576,9,36,1.6325948924976457,34
577,9,37,1.383099991189334,34
578,9,38,1.4978098303037495,34
579,9,39,1.6076726977599138,34
580,9,40,1.6206427761280364,34
581,9,41,1.5515687894928374,34
582,9,42,1.388669309943758,34
583,9,43,1.229776356895191,34
584,9,44,1.5109975072362976,34
585,9,45,1.665062284345396,34
586,9,46,1.5432473005196226,34
587,9,47,1.5024584196986572,34
588,9,48,1.2607717938967942,34
589,9,49,1.496065911543853,34
590,9,50,1.388669309943758,34
591,9,51,1.282503413636793,34
592,9,52,1.404318397462566,34
593,9,53,1.4252902657624795,34
594,9,54,1.433384433063458,34
595,9,55,1.502458419698657,34
596,9,56,1.5109975072362978,34
597,9,57,1.6074550991954883,34
598,9,58,1.557651321714028,34
599,9,59,1.5109975072362976,34
600,10,0,1.680697010832931,34
601,10,1,1.6183941088363931,34
602,10,2,1.7322216637616483,34
603,10,3,1.705851165166361,34
604,10,4,1.7322216637616483,34
